,ci_test_results,z_test_results,z_test_p_values,mean_diff
MAPK9,False,False,0.399,-1.385
ARPC1A,False,False,0.055,8.251
DAP3,False,False,0.735,0.738
HEATR1,False,True,0.042,2.937
HNF1B,False,False,0.296,1.286
SLC24A5,False,False,0.071,1.894
REG4,False,False,0.592,-1.753
ARMT1,False,False,0.984,-0.025
GPN3,False,False,0.979,0.04
OR2D2,False,False,0.403,0.254
OR2A1,True,True,0.0,4.271
WIPI2,False,False,0.525,-0.879
CLCA2,False,False,0.555,0.506
GTSF1L,False,False,0.571,0.51
RAB35,True,True,0.0,-9.477
TRIM24,False,False,0.15,-0.847
HMCES,False,False,0.768,0.832
RMI2,True,True,0.001,7.865
FSTL3,False,False,0.184,-2.527
CSTF2,False,False,0.28,-1.628
COX6B2,False,False,0.988,-0.007
PCBP1,True,True,0.0,-33.999
LMNTD2,True,True,0.01,3.936
UBXN2A,False,False,0.176,-0.964
PAM16,False,False,0.097,-3.017
PSEN1,False,True,0.046,-2.657
TP53TG3,False,False,0.058,2.697
CCSAP,False,False,0.781,0.264
GGT6,False,False,0.635,-0.24
MRPS31,False,True,0.03,-3.25
QTRT1,False,False,0.27,1.354
SLFN5,True,True,0.0,-28.573
GPR84,False,False,0.802,-0.214
TBL1X,False,False,0.163,-3.047
ZADH2,False,False,0.099,-2.397
UPF1,False,False,0.666,-0.815
SCRT1,False,False,0.439,0.274
MLPH,False,False,0.068,4.475
MAP2K7,False,False,0.066,-2.905
ATP6V1G2,False,False,0.851,0.081
ADGRG2,False,False,0.104,1.7
SLC28A1,False,False,0.424,1.334
ANKRD16,False,True,0.037,0.611
FGFR4,False,True,0.023,4.172
PYGM,False,False,0.99,0.013
GGA3,False,False,0.48,0.81
ANO3,False,False,0.995,-0.013
CCL1,False,False,0.066,-5.52
SREK1,False,False,0.708,-0.517
SCAMP4,False,False,0.26,-3.013
ZNF780A,False,False,0.617,-0.274
GFPT2,False,False,0.25,-1.596
HEATR5A,False,False,0.548,0.833
GLRA2,False,False,0.426,-0.347
OR51V1,False,False,0.688,0.43
PCSK1N,False,False,0.095,-2.101
ANKRD13D,True,True,0.0,-15.918
CDK15,False,False,0.829,-0.068
RPP21,False,False,0.224,-1.939
ANKRD13B,False,False,0.271,1.02
USP17L27,False,False,0.775,-0.314
CHTOP,True,True,0.004,-3.638
RABGGTA,True,True,0.0,-2.108
ACADS,True,True,0.0,-4.268
NAT8,False,False,0.767,0.171
GRIN2C,False,False,0.275,1.487
CPNE2,False,False,0.17,-1.99
HHATL,False,False,0.341,1.155
RNF144A,True,True,0.0,-3.052
HAT1,False,False,0.342,-1.535
ADGRE1,False,False,0.18,-1.788
C5orf28,True,True,0.0,4.846
MVB12B,False,False,0.221,-1.385
PPP2CB,False,False,0.953,0.129
CSF3R,False,False,0.6,-14.22
OR52N2,False,False,0.23,1.171
LHX6,False,False,0.318,-1.364
CDC27,False,False,0.332,-1.932
RDH14,False,False,0.397,0.466
ZNF705G,False,False,0.504,0.997
ABHD12,True,True,0.0,-8.393
RAD1,False,False,0.314,1.545
C12orf60,False,False,0.217,1.862
CLUAP1,False,False,0.078,-2.932
NFKBIB,True,True,0.0,-10.012
MORN5,False,False,0.704,-0.464
OR4C15,False,False,0.393,-0.601
ZFYVE26,False,True,0.034,1.839
KIR2DL4,True,True,0.0,-31.645
HTR3E,False,False,0.812,0.127
ZNF484,False,False,0.586,0.736
COL4A5,False,False,0.735,0.535
C10orf82,False,False,0.208,0.882
CCDC74B,False,False,0.876,0.091
RWDD2A,False,False,0.127,-1.692
FIGNL1,False,True,0.037,2.21
TLN1,True,True,0.0,-32.834
ITGA10,False,False,0.945,-0.042
FSBP,False,False,0.094,-2.341
SLC22A9,False,False,0.252,1.559
HRH4,False,False,0.348,1.617
FAM73A,False,False,0.247,-2.369
CCDC138,False,False,0.432,-0.558
C22orf29,False,False,0.856,-0.137
SSTR5,False,False,0.852,0.155
TMEM65,False,False,0.199,1.168
APOC3,False,False,0.735,0.88
HSPBP1,False,False,0.343,-1.529
LRCH4,True,True,0.0,-18.597
MSTN,False,False,0.287,-1.436
MAFF,True,True,0.0,-28.263
KLHL1,False,False,0.794,0.373
SBK1,True,True,0.0,-12.516
GNPAT,False,False,0.295,-1.402
LCE3B,False,False,0.09,2.468
PNLIPRP1,False,False,0.658,-0.042
C16orf87,False,False,0.915,0.105
TECRL,False,False,0.644,-0.785
MRPL36,False,True,0.007,-6.635
CLEC2L,False,False,0.125,1.818
HRSP12,False,False,0.575,0.65
SEC61A1,False,False,0.196,-6.18
ORC3,False,False,0.138,1.437
TMTC1,False,False,0.231,0.902
ZBTB32,True,True,0.0,9.611
SEC23A,False,False,0.112,-4.551
C11orf70,False,False,0.226,0.981
POMP,False,False,0.315,3.341
MTPN,True,True,0.0,11.187
DHX15,False,True,0.01,5.331
INPP5K,True,True,0.0,-11.046
MAGEB6,False,False,0.696,-0.341
PREB,False,False,0.07,-2.88
CTRB2,False,False,0.179,1.807
FNDC3A,False,False,0.975,0.032
GPRASP1,False,False,0.419,-1.437
RSL1D1,True,True,0.0,8.208
AFP,False,False,0.38,-0.745
CBLN1,False,False,0.928,-0.072
RPS26,True,True,0.004,110.666
DBT,False,False,0.683,-0.529
DUS4L,False,False,0.838,-0.159
IL15RA,True,True,0.002,-4.296
AP5S1,False,False,0.325,1.306
TSEN54,True,True,0.0,-38.392
GNMT,False,False,0.649,0.797
CEACAM3,False,False,0.681,-0.59
VCP,False,False,0.411,-2.045
CSN3,False,False,0.197,-1.822
CTD-2370N5.3,False,False,0.475,-1.801
DEFB103B,False,False,0.111,-4.455
CDK2AP1,False,False,0.814,1.347
AP2A1,True,True,0.0,-14.015
FSTL4,False,False,0.102,1.176
SERPINA6,False,False,0.335,-3.849
SNRPB,False,False,0.629,-3.073
ZNF491,False,False,0.661,-0.657
CCNI,False,True,0.022,14.334
FNIP1,False,False,0.06,1.765
OR2T35,False,False,0.326,0.522
IGFBP3,False,False,0.105,-70.324
SLC6A2,False,False,0.252,0.815
SIX6,False,False,0.693,-0.289
CRLF2,False,False,0.06,1.533
TP53I3,False,False,0.367,1.905
PSORS1C1,False,False,0.368,-0.728
DEPDC7,False,False,0.915,0.116
CATSPERB,False,False,0.689,-0.467
NUTM2A,False,False,0.253,1.763
PLEKHF2,True,True,0.0,20.324
ACAP2,True,True,0.001,-7.631
CLIC4,True,True,0.0,22.999
KREMEN1,False,False,0.639,-0.275
GABBR1,True,True,0.0,11.609
AVPI1,False,False,0.423,-1.049
CCDC124,False,True,0.009,-8.187
STON1-GTF2A1L,False,False,0.425,-1.071
CCDC130,True,True,0.0,-8.41
FAM83D,False,False,0.427,1.228
LCMT2,False,False,0.488,3.033
ALG13,False,False,0.73,0.441
SLC22A18,False,True,0.028,-3.419
INSL6,False,False,0.292,1.471
ZNRF2,False,False,0.097,-2.197
ZNF304,False,False,0.288,-0.931
DNAJC24,False,False,0.785,-0.342
NXPE3,False,False,0.999,-0.004
CTSO,True,True,0.0,-5.559
DDI1,False,False,0.191,1.826
PRAMEF17,False,False,0.58,-0.255
RPL34,True,True,0.0,441.413
KDELC2,False,False,0.1,-1.911
ACSBG2,False,False,0.157,-1.525
PACS1,False,False,0.41,-2.419
PCDHGA8,False,False,0.302,2.23
NF2,False,True,0.044,-2.372
RAB22A,False,False,0.063,-1.462
DCLRE1C,False,False,0.226,1.831
TSSC4,True,True,0.0,-8.497
RDH13,False,False,0.986,0.018
OPRD1,False,False,0.677,0.289
OR4K13,False,False,0.451,2.083
HBD,False,False,0.144,-2.245
UBC,True,True,0.0,-231.655
IL2,False,False,0.102,5.842
PPIE,True,True,0.001,-6.052
CLPX,False,False,0.599,0.711
SART3,False,False,0.762,0.389
LRRC25,False,False,0.396,-2.357
HCN4,False,False,0.445,-0.675
PGA5,False,False,0.366,-1.092
SGIP1,False,False,0.799,-0.321
HIATL1,False,False,0.87,0.272
POLK,False,False,0.127,1.156
RBMX,True,True,0.003,10.296
PXT1,False,False,0.725,0.079
STX4,True,True,0.0,-5.455
PRKAR1B,False,True,0.037,2.207
TICAM1,False,True,0.016,2.851
PEX11B,False,False,0.082,-1.917
IDH3B,True,True,0.0,-8.051
MAP3K10,False,False,0.512,-0.927
OR2M7,False,False,0.317,1.436
RNASEH1,False,False,0.942,-0.15
HERC6,False,False,0.426,-1.322
ZC3H12A,True,True,0.0,-27.945
LTBP4,True,True,0.0,-13.641
SP2,True,True,0.0,-3.467
FOXP4,True,True,0.0,4.517
ACER2,False,False,0.283,1.47
NBR1,True,True,0.0,-10.32
TERT,False,False,0.654,0.693
TDRKH,False,False,0.986,0.019
DMPK,True,True,0.001,-3.423
USP1,False,False,0.518,-0.808
NKAIN4,False,False,0.196,1.356
TIMM17A,False,False,0.101,2.59
KRT78,False,False,0.184,1.439
CTAGE5,True,True,0.0,-6.527
PTMS,False,False,0.959,0.337
RPS6KA3,True,True,0.0,-9.274
NAA25,False,True,0.036,2.808
ZNF502,False,False,0.795,-0.362
TBC1D3G,False,False,0.551,-0.956
OAF,False,False,0.312,-1.931
PSMB4,False,False,0.086,15.49
EPHX1,False,True,0.03,9.023
MGAT3,True,True,0.0,4.012
DND1,False,False,0.265,1.449
XRCC6,False,False,0.704,2.228
LTB4R,True,True,0.0,-16.385
NFIX,False,False,0.743,0.924
WDR78,False,False,0.366,0.468
CEBPZ,False,False,0.95,0.088
AC006994.3,False,False,0.503,-1.816
POLD1,False,False,0.157,-1.302
TERF2,True,True,0.001,7.304
ECM1,False,False,0.775,-1.184
OTUD6B,False,False,0.775,-0.426
AOC1,False,False,0.24,2.246
VPS26B,True,True,0.0,-18.126
NAP1L3,False,False,0.361,1.07
EPHB1,False,False,0.993,-0.022
LSM6,False,False,0.805,0.444
CYSLTR1,False,False,0.094,2.124
SPINK2,False,False,0.88,0.169
BBX,False,False,0.23,-2.393
AKAP10,False,True,0.049,-4.131
SLC38A6,False,False,0.879,-0.259
C9orf152,False,False,0.417,0.86
CTNNBIP1,True,True,0.0,-8.659
LCE3C,False,False,0.243,1.6
DIP2C,False,False,0.178,2.062
WDR63,False,False,0.867,-0.139
CD320,True,True,0.001,-9.87
IMMP1L,False,True,0.019,-3.876
TOP3B,False,False,0.097,-2.638
CNEP1R1,True,True,0.0,-3.107
MRPS21,False,False,0.229,1.797
CCDC141,True,True,0.004,2.56
NALP7,False,False,0.196,2.791
STRIP1,False,False,0.052,-4.898
TM4SF18,False,False,0.721,0.667
PLEK2,False,False,0.556,1.27
FBXW12,False,False,0.155,1.992
SMARCAL1,False,True,0.044,-3.283
PLCZ1,False,False,0.731,-0.219
NFU1,False,False,0.139,-3.156
GRIN2A,False,False,0.934,0.048
MUC20,False,False,0.639,-0.915
ADCY8,False,False,0.404,0.886
AC012314.7,False,False,0.271,1.925
UHRF1,False,False,0.557,1.099
TMBIM6,False,False,0.501,-8.034
CCDC113,False,False,0.783,-0.294
PCNX,True,True,0.0,-8.104
VGLL4,True,True,0.0,-7.93
BPIFB6,False,False,0.217,1.025
OR11H1,False,False,0.221,-0.662
TMPRSS13,False,True,0.043,2.195
ZMYM4,False,False,0.205,-1.868
PECR,False,False,0.247,-1.253
BNIP3,False,False,0.717,1.194
CCDC37,False,False,0.94,-0.171
SULT1E1,False,False,0.532,-0.78
IFRD2,False,True,0.019,2.567
ARRDC1,True,True,0.0,-9.706
NEK4,False,False,0.148,0.922
C5,False,False,0.781,-0.393
SMN2,False,False,0.127,2.241
HTR5A,False,False,0.442,-0.314
RRP9,False,False,0.839,-0.24
OR52E6,False,False,0.962,-0.063
OR1A2,False,False,0.229,1.073
SCARB1,False,False,0.08,4.82
SEMA3D,False,False,0.904,-0.165
C4orf3,True,True,0.0,-12.955
TULP4,False,False,0.174,1.428
EPHX4,False,False,0.425,0.713
LOXHD1,False,False,0.364,-0.729
GABRB3,False,False,0.81,0.395
OR51A7,False,False,0.149,-0.879
EVI2B,True,True,0.005,28.43
NAPG,False,False,0.637,0.696
ASB6,True,True,0.0,-5.041
DVL3,False,True,0.011,-3.392
PCSK6,False,False,0.945,-0.074
OTX1,False,False,0.155,1.189
FAM53A,False,False,0.486,-0.36
TNFAIP8L3,False,False,0.661,0.349
POM121C,True,True,0.0,-5.75
CIB1,False,False,0.997,0.015
BHLHA15,False,True,0.019,3.445
TRIM15,False,False,0.736,-0.421
CLDN9,False,False,0.12,2.174
ATXN7L2,False,False,0.094,-1.507
DCAKD,False,True,0.012,-3.695
C1orf158,False,False,0.361,0.666
SH3BGRL2,False,False,0.319,0.896
GATS,False,False,0.917,0.171
FOXC1,False,False,0.29,1.101
HSPBAP1,False,False,0.746,0.205
METTL21A,False,True,0.012,2.983
PLCL1,False,False,0.701,0.251
FAM171B,False,False,0.06,-2.85
SDAD1,False,False,0.321,1.238
FNDC4,False,False,0.801,-0.341
CCDC71L,False,False,0.767,0.448
GPX8,False,False,0.188,2.562
EDC3,True,True,0.0,-10.784
TMC2,False,False,0.96,-0.051
SLC20A1,True,True,0.0,-26.979
GOLGA6D,False,False,0.096,1.768
OR2G6,False,False,0.567,0.94
RPS3A,True,True,0.0,520.685
RP3-509I19.11,False,False,0.807,-0.379
ARL2,False,False,0.762,-0.82
CD72,True,True,0.0,26.483
DNAAF2,False,False,0.169,0.689
BLCAP,False,True,0.027,4.974
ACTL10,False,False,0.249,1.179
HBE1,False,False,0.254,1.74
TAAR5,False,False,0.508,1.563
IFT80,False,False,0.718,0.314
ARMC4,False,False,0.206,0.323
MYH7B,False,False,0.337,0.515
KRT38,False,False,0.651,-0.297
KLK2,False,False,0.332,4.613
SCRG1,False,False,0.683,0.569
TNIK,True,True,0.0,-13.824
AC012314.3,False,False,0.502,0.865
AHSA2,True,True,0.005,-6.259
ANKRD49,False,True,0.046,-4.313
CCNYL1,False,False,0.435,1.357
TBL1XR1,False,False,0.851,0.496
CBWD1,False,True,0.022,4.437
ZBTB12,False,False,0.118,1.82
RER1,True,True,0.0,-13.678
LCE3D,False,False,0.495,-0.696
ZNF483,False,False,0.38,-0.755
TYR,True,True,0.003,4.329
PCDHGA5,False,False,0.42,0.684
EML1,False,False,0.208,-1.818
ZNF44,True,True,0.005,-4.207
FBXW10,False,False,0.492,-1.193
SMYD5,False,False,0.103,2.353
TBR1,False,False,0.37,0.063
NEGR1,False,False,0.468,1.051
POLR2K,True,True,0.0,-12.573
SAFB,False,False,0.375,-1.371
SPTA1,False,False,0.993,0.016
BTBD8,False,True,0.042,-2.016
NACC1,False,True,0.008,-6.915
CCRL2,False,False,0.703,-0.572
SLC52A3,False,False,0.406,-0.805
GDAP1L1,False,False,0.144,2.505
IMPA1,False,False,0.619,0.997
RPRD2,False,False,0.662,-0.28
GLI4,False,False,0.389,-0.927
ACSF2,False,False,0.062,2.474
MGEA5,False,False,0.631,-1.974
CXADR,False,False,0.75,-0.589
GJA3,False,False,0.753,0.252
APBA1,False,False,0.893,-0.186
FBXO32,True,True,0.0,-5.428
INTS10,False,False,0.665,-0.559
CASP9,False,False,0.574,0.385
KLF17,False,False,0.68,-0.541
WI2-3308P17.2,False,False,0.397,-0.222
FADS1,False,False,0.119,4.577
C11orf16,False,False,0.699,-0.376
SOX17,False,False,0.49,-0.527
DEFA4,True,True,0.005,-1.98
ILDR1,False,False,0.502,1.101
MARCH10,False,False,0.738,-0.753
MASTL,False,False,0.082,3.206
EFCAB10,False,False,0.476,-0.319
GNGT2,True,True,0.0,-19.809
TCEAL7,False,False,0.327,-1.611
USP40,False,True,0.017,2.986
CDT1,False,False,0.389,1.325
HNRNPUL1,True,True,0.0,-19.654
WISP3,False,False,0.214,-1.283
MAGEC1,False,False,0.631,0.333
C2orf40,False,False,0.974,0.036
ZNF142,True,True,0.0,-2.574
SRXN1,False,False,0.308,3.826
NEK9,False,False,0.934,0.044
PPIG,False,False,0.816,0.357
DEPDC1,False,True,0.038,1.706
RPL8,True,True,0.0,405.038
SLC27A5,False,False,0.676,0.306
CKLF-CMTM1,False,False,0.335,-1.164
SLC16A14,False,False,0.436,0.841
DLX4,False,False,0.464,-0.172
KRTAP25-1,False,False,0.118,1.779
MATR3,False,False,0.499,3.27
GRIN2B,False,False,0.415,0.415
AGAP3,True,True,0.0,-8.093
PABPN1,True,True,0.0,-14.666
PCSK5,False,False,0.356,-23.355
ZBTB7A,False,True,0.021,-4.014
KBTBD7,False,False,0.815,0.424
PPIH,False,True,0.008,-5.495
MORF4L2,False,False,0.086,11.524
CARS2,False,False,0.121,2.783
ZNF181,False,True,0.019,-0.956
CCNB3,False,False,0.2,1.439
GRN,False,True,0.012,-63.035
SERP1,False,True,0.033,-5.389
ATP1A1,False,False,0.863,-1.427
PARD6A,False,True,0.035,4.427
ABHD4,True,True,0.0,-11.699
RP11-546B8.6,False,False,0.626,-0.266
MPC1,True,True,0.0,-3.595
PTCD2,False,False,0.521,1.083
ZNF101,True,True,0.002,-3.593
SPATA16,False,False,0.823,-0.305
IL12RB2,True,True,0.0,-16.919
CD33,False,False,0.199,-2.804
TGFBR2,False,False,0.922,0.37
EIF4A2,True,True,0.003,12.806
LSM2,False,False,0.257,2.019
PJA2,False,True,0.033,-3.365
ARID4A,False,False,0.598,-0.785
AIF1L,False,False,0.176,-2.948
CRNKL1,True,True,0.004,-1.951
NHS,False,False,0.752,-0.406
SAMHD1,True,True,0.0,-43.279
CXCL17,False,False,0.939,0.063
LARP1B,False,False,0.937,-0.15
CD24,True,True,0.0,55.626
PMM2,False,False,0.088,1.637
TCOF1,False,False,0.283,1.494
SERPINI2,False,False,0.125,1.96
NXF3,False,False,0.399,1.356
TNIP2,False,False,0.812,-0.441
PDE2A,False,False,0.258,-1.421
GALC,True,True,0.0,-11.684
ZNF436,False,True,0.026,-1.795
ANXA4,False,False,0.05,6.874
PRR11,False,False,0.355,2.538
TBC1D10B,False,False,0.148,-2.291
AC023491.2,False,False,0.161,-1.461
COL9A2,False,False,0.543,1.105
AKAP13,True,True,0.0,-45.239
RAB3D,False,False,0.507,0.968
PCSK4,False,False,0.874,0.113
LEAP2,False,False,0.492,0.732
LATS2,True,True,0.0,-4.568
ARHGDIG,False,False,0.832,0.223
VDAC1,False,False,0.054,10.559
MON1A,False,True,0.03,-1.524
FCRL6,True,True,0.0,-80.128
GHDC,False,True,0.049,-1.663
PMS1,False,False,0.149,-1.439
AFG3L2,False,False,0.805,-0.671
MRGPRX4,False,False,0.262,2.057
KCNMB4,False,False,0.484,0.207
C12orf71,False,False,0.237,2.649
YEATS4,False,False,0.11,1.661
EXOC5,False,False,0.108,-0.908
ZRANB3,False,False,0.121,3.065
GSDMC,False,False,0.33,-0.851
NOX1,False,False,0.851,0.232
INSL5,False,False,0.378,-0.632
IFITM10,False,False,0.314,-1.377
KLHDC9,False,False,0.173,0.559
PHOSPHO2,False,False,0.262,-0.608
OR10D3,False,False,0.359,-0.55
ENTPD2,False,False,0.254,1.363
EIF4H,False,False,0.405,-3.376
NEUROG2,False,False,0.283,1.804
NAE1,True,True,0.0,-5.527
CYP27B1,False,False,0.957,-0.031
ZNF827,False,False,0.131,-1.184
ORMDL3,True,True,0.0,-16.702
TSR3,False,False,0.062,-2.935
TAF9,True,True,0.001,6.248
SPTSSA,False,False,0.148,1.896
NUBP2,False,True,0.018,-3.631
CDRT15L2,False,False,0.116,2.435
OS9,False,True,0.021,-17.012
RFX2,False,False,0.508,0.762
RORB,False,False,0.099,2.401
POPDC3,False,False,0.133,-1.008
OR10AD1,False,False,0.378,1.576
CD46,False,False,0.464,-3.252
UBL4A,False,False,0.214,-3.078
NRG2,False,False,0.357,0.992
TAS2R14,False,False,0.075,1.742
CSTF2T,True,True,0.002,-5.89
TRMT5,False,True,0.037,3.51
ART3,False,False,0.39,-1.707
IFNA5,True,True,0.0,181.012
SF3B2,True,True,0.0,-17.037
MEOX2,False,False,0.108,-1.348
NEMP2,True,True,0.015,-2.713
RBBP8NL,False,False,0.264,0.948
ZFAND4,False,False,0.114,0.751
PRKRIR,False,False,0.919,-0.167
MRPL44,False,False,0.092,2.083
LIG3,False,True,0.014,-1.338
CECR5,False,False,0.128,-1.757
ANKHD1-EIF4EBP3,False,False,0.881,-0.232
ABHD10,False,True,0.015,4.159
ZFP57,False,False,0.142,-1.902
CLEC1A,False,False,0.061,-1.229
POM121L7,False,False,0.716,-0.579
TACC3,False,False,0.93,0.22
CD19,True,True,0.0,57.546
MAGI3,False,False,0.153,1.311
ANP32B,True,True,0.0,22.83
CATSPER2,False,False,0.139,1.768
MT1HL1,False,False,0.504,-1.02
GCOM1,False,False,0.277,0.9
SULT1A4,False,False,0.45,-0.931
SV2B,False,False,0.296,-1.358
CDKN1C,False,False,0.911,-0.261
METAP2,False,False,0.066,5.853
PCCA,True,True,0.001,-4.212
TEAD2,False,True,0.008,2.369
CREB3L1,False,False,0.071,3.047
TEX26,False,False,0.878,0.221
KRTAP22-1,False,False,0.149,2.254
RAPSN,False,False,0.569,1.216
PIK3AP1,False,True,0.014,-7.115
GUSB,True,True,0.0,-5.763
GLT8D1,True,True,0.0,-10.241
THOC1,False,False,0.338,-1.723
TMCO4,False,True,0.044,-1.607
OR1Q1,False,False,0.306,0.613
ZNF605,False,False,0.119,1.675
MYL9,False,False,0.151,-17.451
AC245100.1,False,True,0.012,-5.212
MCM9,False,False,0.542,-0.501
TNFRSF21,False,False,0.714,-1.771
NPTN,True,True,0.003,-10.069
BTN3A2,True,True,0.0,-59.885
PACSIN2,False,False,0.224,2.43
CDC42EP4,False,False,0.685,-0.591
CLCN4,True,True,0.0,4.559
RNF144B,True,True,0.0,6.131
ALDH3A2,False,False,0.15,6.758
NAA30,False,False,0.284,-1.424
HBS1L,False,False,0.192,2.01
RCN1,False,False,0.193,9.641
PRR23A,False,False,0.26,-1.242
PCGF2,False,False,0.606,0.847
BBS4,False,False,0.345,-1.269
MED9,False,False,0.054,-1.535
SYNGAP1,False,False,0.098,-2.012
ADRB1,True,True,0.001,-0.609
ANO10,False,False,0.88,-0.225
AP5M1,False,False,0.96,0.092
CST11,False,False,0.479,1.56
CCT6B,False,False,0.45,1.192
TTC32,False,True,0.044,-3.165
PCDHAC2,False,False,0.223,1.223
SPACA5,False,False,0.253,-1.066
POLR1D,False,False,0.52,-1.495
F2RL3,False,False,0.963,0.065
XPO5,True,True,0.012,3.109
FAM106A,False,False,0.338,-1.162
CEP85L,False,True,0.008,-3.987
ACBD3,True,True,0.0,7.6
TPM4,False,False,0.426,-14.663
TMEM52,False,False,0.625,-0.333
SPATA13,True,True,0.0,-38.929
MPHOSPH8,True,True,0.0,-8.879
RECQL,True,True,0.0,-7.148
TNRC6B,False,True,0.02,-7.934
FAM21C,False,False,0.567,-0.789
PCCB,False,False,0.798,-0.557
MSL1,True,True,0.0,-9.425
MYLPF,False,False,0.113,-2.016
CAMK1,True,True,0.0,-5.245
MSANTD1,False,False,0.138,2.227
KAT7,True,True,0.0,-6.562
FADS2,False,False,0.08,-12.646
ST6GALNAC1,False,False,0.402,0.436
METTL10,False,False,0.182,-2.31
ADRA2C,False,False,0.752,0.485
INSM1,False,False,0.124,1.315
OR14K1,False,False,0.947,-0.038
PRMT8,False,False,0.996,-0.007
R3HDML,False,False,0.501,-0.868
PCYT2,True,True,0.002,-4.322
DEDD2,True,True,0.0,-10.184
RNASE12,False,False,0.924,0.106
UNC5B,False,False,0.096,-0.77
SPAG11B,False,False,0.129,3.068
CDK8,False,True,0.039,-0.851
RP1,False,False,0.709,-0.071
RAD54B,False,False,0.205,1.436
TYRO3,False,False,0.871,-0.257
OSCP1,False,False,0.315,-1.093
KLHL14,True,True,0.0,9.217
XKRX,True,True,0.018,3.932
CEP55,False,False,0.714,0.948
FHOD1,True,True,0.0,-4.419
NT5C1B,False,False,0.456,1.057
NOC3L,True,True,0.0,3.239
S100B,False,True,0.02,-18.952
C2orf15,False,False,0.464,-0.501
CRHBP,False,False,0.125,1.187
BTN3A3,True,True,0.0,-21.386
CMSS1,False,False,0.136,2.476
HSBP1,False,False,0.327,-2.387
DNAH5,False,False,0.202,1.534
CRTAP,False,False,0.525,2.039
PPFIA2,False,False,0.297,1.828
RTKN2,False,False,0.752,-0.545
ROCK2,False,False,0.516,0.593
IL27,False,False,0.52,-1.365
UNC93B1,True,True,0.002,13.532
ACSL4,False,False,0.757,-0.614
DLL1,True,True,0.0,-6.121
RNASE7,False,False,0.69,0.386
C1orf141,False,False,0.77,0.205
KRTAP1-1,False,False,0.405,0.652
CHRNB2,False,False,0.49,-0.694
SUSD2,False,False,0.159,2.193
CNIH1,True,True,0.0,13.548
RAB33A,True,True,0.0,-3.059
LETM1,False,False,0.735,0.485
HTN1,False,False,0.817,-0.086
KCTD21,False,False,0.217,-0.741
TMEM201,False,False,0.604,0.384
SEC61A2,False,True,0.026,3.371
LAT,True,True,0.0,-49.828
HLA-DRB4,True,True,0.0,42.563
CDADC1,False,True,0.034,-1.971
TERF2IP,True,True,0.0,-16.053
DAP,False,False,0.566,1.504
LIM2,True,True,0.0,-11.21
SRGAP3,False,False,0.69,0.577
RTN4IP1,False,False,0.11,2.453
KLHL40,False,False,0.238,1.536
POLR3GL,True,True,0.0,-17.471
MAPKAP1,False,False,0.135,-2.701
NPHP1,False,False,0.824,0.275
UNC50,True,True,0.0,-7.865
TRIM25,False,False,0.274,2.479
SLC9A2,False,False,0.526,0.475
LYRM1,False,False,0.992,0.017
ATP6V1G1,False,False,0.378,3.529
C19orf35,False,False,0.917,-0.174
RAB9B,False,False,0.933,-0.044
DNASE2B,False,False,0.198,1.187
STARD6,False,True,0.041,-0.773
MCC,False,False,0.292,1.132
MOB3C,False,False,0.261,-1.32
DAG1,False,False,0.565,1.219
AK8,False,False,0.213,1.122
MYH9,True,True,0.0,-52.506
MBD3L4,False,False,0.644,0.39
ADAL,False,False,0.247,1.247
GMNN,False,False,0.436,-1.377
SKA2,False,False,0.722,-1.321
HSPA12B,False,False,0.37,1.491
FKSG56,True,True,0.0,-11.484
TRMT61A,False,False,0.213,1.244
LAMB3,False,False,0.987,0.068
KIAA0753,False,False,0.324,-0.462
MMP9,False,False,0.328,-32.547
BAG5,False,True,0.042,-2.593
LBX2,False,False,0.784,0.318
OR1N2,False,False,0.616,0.817
UNC5D,False,False,0.849,0.289
ZMYM1,False,False,0.741,0.343
PSMD2,False,False,0.857,-1.036
GLP1R,False,False,0.218,-1.709
UTP18,False,False,0.065,3.406
KIAA1024,False,False,0.252,1.758
CEP164,True,True,0.003,-2.419
ABCA1,False,True,0.018,3.864
HNRNPR,False,True,0.016,-5.706
LMNTD1,False,False,0.58,0.508
TCEB2,True,True,0.0,-52.672
BEST3,False,False,0.66,-0.454
MED22,False,False,0.601,0.975
CSH2,False,False,0.727,0.361
MRPS23,False,False,0.085,3.182
MMEL1,False,False,0.4,-0.493
SUPT16H,False,False,0.729,0.592
KCNJ8,False,False,0.207,-0.883
SOSTDC1,False,False,0.845,-0.299
TCAIM,False,False,0.387,-0.405
BMP4,False,False,0.769,0.753
ARID1A,True,True,0.001,-5.959
SCYL3,False,False,0.181,-0.79
LRRC4,False,False,0.444,-0.696
RITA1,True,True,0.0,-2.068
DEDD,False,False,0.767,-0.588
GPCPD1,False,False,0.679,0.496
STRA6,False,False,0.224,1.563
ANKMY2,True,True,0.0,-5.073
NTM,False,False,0.171,-1.294
CYP11A1,False,False,0.128,0.722
MASP2,False,False,0.208,-1.192
ANKAR,False,False,0.104,2.236
