,ci_test_results,z_test_results,z_test_p_values,mean_diff
TMEM147,False,False,0.28,3.319
TDRP,False,False,0.217,1.948
GPATCH2,False,False,0.883,0.152
TNNT3,False,False,0.06,-2.31
KLHL18,False,False,0.538,0.66
AC133551.1,False,False,0.927,0.099
LRRTM3,False,False,0.702,0.637
ZNF337,True,True,0.004,-4.485
SPATA6,False,False,0.214,-0.548
KIF1C,False,False,0.741,-0.436
KLHDC8B,False,False,0.421,-0.499
MESDC2,False,False,0.955,-0.094
RP11-723O4.6,False,False,0.874,-0.193
SLC2A4RG,True,True,0.004,-4.996
MAP3K13,False,False,0.604,0.448
SLC27A6,False,False,0.723,0.513
ZNF776,False,False,0.927,0.156
ZNF285,False,False,0.292,0.906
RDX,False,False,0.644,-1.109
ELAVL3,False,False,0.717,0.425
TADA2A,False,False,0.328,-1.687
TEX261,False,False,0.925,-0.147
SAMD13,False,False,0.914,0.215
ASTN1,False,False,0.473,-0.207
ELF4,True,True,0.0,-18.389
LRIF1,False,False,0.88,0.223
TTC19,False,False,0.468,-0.87
ASNA1,True,True,0.0,-7.99
ZKSCAN4,False,False,0.806,-0.352
AC012314.33,False,False,0.625,-0.271
CCNE2,False,False,0.719,0.864
OIP5,False,False,0.674,-0.482
RDH16,False,False,0.392,1.031
ALOX12B,False,False,0.075,-3.112
EID2B,True,True,0.0,-1.005
CRABP1,False,False,0.43,0.453
MIB2,True,True,0.0,-23.79
PEX13,False,False,0.206,-0.773
DTX3L,False,True,0.03,-4.179
FZD9,False,False,0.112,2.263
IFI27,False,False,0.605,-19.108
USP3,False,False,0.638,-0.877
PAK1,False,False,0.697,-0.723
TMEM30A,False,True,0.034,-6.675
EFNB2,False,False,0.309,-1.392
MED13L,False,True,0.016,3.574
ZNF70,False,False,0.753,-0.123
CPT2,False,False,0.233,-1.798
MFSD3,False,False,0.305,1.063
RP11-195F19.5,False,False,0.918,-0.053
TMEM225,False,False,0.311,1.512
LGR5,True,True,0.014,3.105
DTNA,False,False,0.837,0.229
OTOS,False,False,0.298,0.637
ZNF684,False,False,0.134,-2.139
PKN1,True,True,0.0,-30.6
SNX1,True,True,0.001,-6.565
FAT4,False,False,0.344,2.076
ATP9B,True,True,0.004,-9.721
PDGFB,False,False,0.41,-1.84
ZFX,False,False,0.828,-0.278
TNFAIP6,False,False,0.525,-2.747
ZNHIT3,False,False,0.156,-1.549
BTLA,True,True,0.0,24.488
TGFBR1,True,True,0.0,-13.923
TOR1AIP1,True,True,0.0,-9.514
BATF3,False,False,0.596,0.285
HS3ST3B1,True,True,0.0,-4.224
MED6,False,False,0.872,0.168
TMPRSS5,False,False,0.481,-1.525
PHF14,False,False,0.321,1.672
LNPEP,True,True,0.0,-6.85
RNF187,False,True,0.011,-4.946
FGFBP1,False,False,0.351,3.098
FAP,False,False,0.852,-0.416
ICAM2,True,True,0.0,-28.068
GATA2,False,False,0.875,1.17
AREL1,True,True,0.003,-3.877
ZAP70,True,True,0.0,-137.346
ACAN,False,False,0.906,-0.199
TAX1BP3,False,False,0.928,-0.347
GABRA5,False,False,0.732,0.464
AS3MT,False,False,0.191,1.746
PLIN2,False,True,0.032,-10.775
LAPTM4B,False,False,0.089,6.463
GPR162,False,False,0.898,0.155
AGAP6,False,True,0.029,-3.087
NBPF11,False,False,0.488,-0.866
KDM5D,False,True,0.006,5.135
OR4F17,False,False,0.146,1.295
RPS4Y1,False,False,0.267,12.182
DDIAS,False,False,0.644,0.463
NEU1,True,True,0.006,-4.833
CHN2,True,True,0.0,-9.094
S100A10,False,False,0.203,-28.476
PAPOLG,True,True,0.0,-1.243
EPT1,False,False,0.144,0.996
ESYT1,True,True,0.0,-11.754
SULT4A1,False,False,0.11,3.162
RSPH10B2,False,False,0.282,-0.959
GINS3,False,False,0.801,0.298
TRIAP1,False,False,0.469,-1.274
GOSR2,False,False,0.27,-1.872
CCNH,True,True,0.0,-6.759
XAF1,True,True,0.003,-9.485
ADAMTS20,False,False,0.413,-1.586
RYR2,False,False,0.217,-0.815
SBSPON,False,True,0.035,-0.466
USP26,True,True,0.03,0.379
EDARADD,False,False,0.067,-1.673
RPL22,True,True,0.0,158.735
MMAB,False,False,0.413,-1.385
